"mol","NAME_","available","H_acceptor","H_donor","B_rotN","N_O","logP","logD","logSw","PSA"
C#CCn1c2ccccc2nc1CCNC(c1ccco1)=O,8017-3768,31,5,1,5,5,2.13,2.12,-4.07,60.06
C(C(C(O)=O)n1cccc1)c1ccccc1,8015-2081,38,3,1,4,3,1.91,-1.79,-2.29,42.23
C(C(N)=O)Sc1c(nc(c2ccco2)o1)S(c1ccc(cc1)[Br])(=O)=O,C176-0446,18,8,2,6,7,2.4,2.83,-4.35,150.1
C(C(Nc1ccc(c(c1)F)F)=O)N1C(=O)Oc2ccccc12,C082-0704,23,5,1,4,5,2.59,2.92,-4.09,58.64
C(C(O)=O)NS(c1cccc2c1nsn2)(=O)=O,K906-1162,56,8,2,5,7,0.33,-2.23,-1.22,145.9
C(CCC(O)=O)CCN,0351-0392,183,3,3,6,3,-4.34,-2.47,1.902,63.32
C(CCC(O)=O)CCNS(c1ccc(cc1)[Cl])(=O)=O,Y041-3038,26,5,2,7,5,1.97,-1.755,0.7746,91.85
C(CN1CCN(CC1)c1cccc(c1)[Cl])NC(C1=CC=CN2C1=Nc1ccccc1C2=O)=O,C200-1000,1,5,1,6,7,2.94,3.89,-1.49,68.25
C(CNC(CN1C(c2cccn2c2cccnc12)=O)=O)c1ccc(cc1)S(N)(=O)=O,E524-0181,124,6,3,7,9,0.66,0.5,-1.99,135.8
C(CNC(CSCc1ccccc1)=O)c1ccc(cc1)S(N)(=O)=O,Y030-7702,7,5,3,8,5,1.16,2.556,-4.866,122.9
C(c1ccc(cc1)[Br])=NNC(c1cccc(c1)I)=O,1699-1433,43,4,1,4,3,4.01,3.26,-5.09,41.46
C(c1cccc(c1)O)=Nn1c(N)nnn1,8012-2420,1,7,3,3,7,0.69,0.66,-2.37,102.2
C(c1ccccc1)N1C(=Nc2ccccc2C1=O)SCC(N)=O,8010-4955,47,5,2,5,5,2.42,1.921,-0.8249,101.1
C(c1ccccc1)NC(CS(c1ccc(cc1)[Cl])(=O)=O)=O,G856-7251,21,4,1,6,4,2.66,2.95,-4.69,71.62
C(c1ccccn1)NC(CN1C(c2cc(c3ccccc3)nn2C=N1)=O)=O,G361-0007,182,5,1,6,8,0.93,1.08,-2.53,92.48
C1C(CC(C(=CNCCN2CCN(CC2)C(Cc2ccccc2)=O)C1=O)=O)c1ccccc1,4038-0089,80,4,1,8,6,2.1,1.83,-1.4,69.72
C1C(N(C(c2ccc(cc2)F)S1)c1c(cccc1F)F)=O,K205-1672,22,5,0,2,2,3.86,3.79,-5.86,45.61
C1C(Nc2ccccc2N1C(COc1ccccc1F)=O)=O,Y300-1659,51,5,1,3,5,3.14,3.14,-3.2,58.64
C1CC(CNC(CN2C(c3c(C=N2)c2ccccc2n3Cc2ccccc2F)=O)=O)OC1,C880-2462,77,5,1,7,7,3.06,2.08,-2.87,75.93
C1CC2=C(C(CC(N2)=O)c2cccc(c2)[Br])C(C1)=O,C276-0766,120,3,1,1,3,2.16,3.52,-4.12,46.17
C1CCC(C1)NC(CSC1=Nc2c3ccccc3sc2C(N1CCCN1CCOCC1)=O)=O,K263-0436,33,7,1,9,7,3.65,2.76,-2.09,74.24
C1CCC(CC1)C(NCCc1ccc(cc1)S(N)(=O)=O)=O,Y030-6352,40,5,3,5,5,1.24,3.178,-4.373,97.64
C1CCN(CC1)Cc1c(C(NN=Cc2ccc(cc2[Cl])[Cl])=O)nnn1c1c(N)non1,1766-1192,97,2,3,4,11,3.23,0.63,-3.02,140.3
C1CCN(CC1)c1nc(N)nc(n1)N(c1ccccc1)c1ccccc1,8013-6249,25,6,2,4,6,4.27,4.26,-5.24,71.17
C1CN(CCN1c1cccc(c1)[Cl])S(C1=CN=C(NC1=O)O)(=O)=O,D668-0121,161,7,2,4,8,0.416,1.05,-0.73,110.7
C1COCCN1S(c1ccc(cc1)NC(COc1ccccc1[Cl])=O)(=O)=O,5551-0163,24,7,1,7,7,1.92,4.9,-6.48,84.94
C1CS(CC1N(Cc1ccco1)C(COc1ccc(cc1)[Cl])=O)(=O)=O,D051-0235,159,6,0,7,6,1.46,1.48,-2.18,85.2
C1CS(c2ccccc2N(CC(Nc2cccc(c2)C(F)(F)F)=O)C1=O)(=O)=O,C867-0041,2,6,1,2,6,3.66,3.66,-4.4,91.93
C=CCN1C(=Nc2ccc(cc2)C(O)=O)SCC1=O,3771-4581,1,5,1,4,5,3.3,0.45,-3.84,95.27
CC(=O)Oc1ccc(C=C2C(=O)OC(c3c(c4ccccc4)noc3C)=N2)cc1OC,2192-1228,2,8,0,6,8,3.61,3.19,-4.71,100.2
CC(C(C(C(C=NNC(COc1ccc(cc1C)[Cl])=O)O)O)O)O,2095-0022,91,8,5,13,8,0.18,-0.78,2.95,131.6
CC(C(NCCc1ccc(c(c1)OC)OC)=O)N1C(c2cc3c(cco3)n2C(C)=N1)=O,C887-0681,10,6,1,8,9,2.13,1.42,-0.23,98.3
CC(C)(C(O)=O)SC(N1CCCCCC1)=S,4349-0063,63,4,1,5,3,3.83,0.09,-1.46,72.63
CC(C)(C)NC(COc1ccc(CNC(C)(C)CO)cc1OC)=O,6408-0449,33,5,3,11,6,1.7,-1.04,0.98,79.82
CC(C)Cc1nnc(NC(c2c(c3ccccc3)noc2C)=O)s1,Y030-7170,90,6,1,3,6,5.57,5.38,-5.71,109.2
CC(C)N(C(C)C)C(Cn1cc(c2ccccc12)SCC(NCC1CCCO1)=O)=O,E587-0740,23,4,1,11,6,2.45,4.76,-3.29,88.87
CC(C)N1CCC2(CC1)NC(CO)(CO)CO2,6049-1987,3,5,3,5,5,1.36,-0.85,0.61,64.96
CC(C)Oc1ccc(cc1)C(NCC1(CCCCC1)N(C)C)=O,D335-0289,152,3,1,7,4,3.6,3.04,-2.26,41.57
CC(C)c1ccc(C)cc1OCC(NN=C1CC(CC(C)(C)C1)=O)=O,6005-0048,91,4,1,6,5,3.1,3.55,-3.44,67.76
